video_id,title,author,lyrics
NDonh28AY3I,a sky full of stars,coldplay,"
<br>'Cause you're a sky, 'cause you're a sky full of stars<br>I'm gonna give you my heart<br>'Cause you're a sky, 'cause you're a sky full of stars<br>'Cause you light up the path<br><br>I don't care, go on and tear me apart<br>I don't care if you do, ooh<br>'Cause in a sky, 'cause in a sky full of stars<br>I think I saw you<br><br>'Cause you're a sky, 'cause you're a sky full of stars<br>I wanna die in your arms<br>'Cause you get lighter the more it gets dark<br>I'm gonna give you my heart<br><br>I don't care, go on and tear me apart<br>I don't care if you do, ooh<br>'Cause in a sky, 'cause in a sky full of stars<br>I think I see you<br>I think I see you<br><br>'Cause you're a sky, you're a sky full of stars<br>Such a heavenly view<br>You're such a heavenly view<br>"
cvQ2LF3hyuY,pompeii,bastille,"
<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br><br>I was left to my own devi-i-i-i-ces<br>Many days fell away with nothing to show<br><br>And the walls kept tumbling down<br>In the city that we love<br>Gray clouds roll over the hills<br>Bringing darkness from above<br><br>But if you close your eyes<br>Does it almost feel like<br>Nothing changed at all?<br>And if you close your eyes<br>Does it almost feel like<br>You've been here before?<br>How am I gonna be an optimist about this?<br>How am I gonna be an optimist about this?<br><br>We were caught up and lost in all of our vices<br>In your pose as the dust settled around us<br><br>And the walls kept tumbling down<br>In the city that we love<br>Gray clouds roll over the hills<br>Bringing darkness from above<br><br>But if you close your eyes<br>Does it almost feel like<br>Nothing changed at all?<br>And if you close your eyes<br>Does it almost feel like<br>You've been here before?<br>How am I gonna be an optimist about this?<br>How am I gonna be an optimist about this?<br><br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br><br>Oh where do we begin?<br>The rubble or our sins?<br>Oh oh where do we begin?<br>The rubble or our sins?<br><br>And the walls kept tumbling down (oh where do we begin?)<br>In the city that we love (the rubble or our sins?)<br>Gray clouds roll over the hills (oh where do we begin?)<br>Bringing darkness from above (the rubble or our sins?)<br><br>But if you close your eyes<br>Does it almost feel like<br>Nothing changed at all?<br>And if you close your eyes<br>Does it almost feel like<br>You've been here before?<br>How am I gonna be an optimist about this?<br>How am I gonna be an optimist about this?<br><br>If you close your eyes, does it almost feel like nothing changed at all?<br><br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>Eheu aul aul<br>"
1P9bVeE8zXo,i bet my life,imagine dragons,"
<br>(I bet, I bet my life)<br>(I bet, I bet my life)<br>(I bet, I bet my life)<br>(I bet, I bet my life)<br><br>I know I took the path that you would never want for me<br>I know I let you down, didn't I?<br>So many sleepless nights where you were waiting up on me<br>Well I'm just a slave unto the night<br><br>Now remember when I told you that's the last you'll see of me<br>Remember when I broke you down to tears<br>I know I took the path that you would never want for me<br>I gave you hell through all the years<br><br>So I, I bet my life, I bet my life<br>I bet my life on you<br>I, I bet my life, I bet my life<br>I bet my life on you<br><br>I've been around the world and never in my wildest dreams<br>Would I come running home to you<br>I've told a million lies but now I tell a single truth<br>There's you in everything I do<br><br>Now remember when I told you that's the last you'll see of me<br>Remember when I broke you down to tears<br>I know I took the path that you would never want for me<br>I gave you hell through all the years<br><br>So I, I bet my life, I bet my life<br>I bet my life on you<br>I, I bet my life, I bet my life<br>I bet my life on you<br><br>Don't tell me that I'm wrong<br>I've walked that road before<br>And left you on your own<br>And please believe them when they say<br>That it's left for yesterday<br>And the records that I play<br>Please forgive me for all I've done<br><br>So I, I bet my life, I bet my life<br>I bet my life on you<br>I, I bet my life, I bet my life<br>I bet my life on you<br><br>So I, I bet my life, I bet my life<br>I bet my life on you<br>I, I bet my life, I bet my life<br>I bet my life<br>"
8j741TUIET0,renegades,x ambassadors,"
<br>Run away-ay with me<br>Lost souls in revelry<br>Running wild and running free<br>Two kids, you and me<br><br>And I said hey<br>Hey, hey, hey<br>Living like we're renegades<br>Hey, hey, hey<br>Hey, hey, hey<br>Living like we're renegades<br>Renegades, renegades<br><br>Long live the pioneers<br>Rebels and mutineers<br>Go forth and have no fear<br>Come close and lend an ear<br><br>And I said hey<br>Hey, hey, hey<br>Living like we're renegades<br>Hey, hey, hey<br>Hey, hey, hey<br>Living like we're renegades<br>Renegades, renegades<br><br>So, all hail the underdogs<br>All hail the new kids<br>All hail the outlaws<br>Spielbergs and Kubricks<br><br>It's our time to make a move<br>It's our time to make amends<br>It's our time to break the rules<br>Let's begin...<br><br>And I said hey<br>Hey, hey, hey<br>Living like we're renegades<br>Hey, hey, hey<br>Hey, hey, hey<br>Living like we're renegades<br>Renegades, renegades<br>"
7wtfhZwyrcc,believer,imagine dragons,"
<br>First things first<br>I'ma say all the words inside my head<br>I'm fired up and tired of the way that things have been, oh ooh<br>The way that things have been, oh ooh<br><br>Second things second<br>Don't you tell me what you think that I could be<br>I'm the one at the sail, I'm the master of my sea, oh ooh<br>The master of my sea, oh ooh<br><br>I was broken from a young age<br>Taking my sulking to the masses<br>Writing my poems for the few<br>That look at me, took to me, shook to me, feeling me<br>Singing from heartache from the pain<br>Taking my message from the veins<br>Speaking my lesson from the brain<br>Seeing the beauty through the...<br><br>Pain!<br>You made me a, you made me a believer, believer<br>Pain!<br>You break me down, you build me up, believer, believer<br>Pain!<br>Oh let the bullets fly, oh let them rain<br>My life, my love, my drive, it came from...<br>Pain!<br>You made me a, you made me a believer, believer<br><br>Third things third<br>Send a prayer to the ones up above<br>All the hate that you've heard has turned your spirit to a dove, oh ooh<br>Your spirit up above, oh ooh<br><br>I was choking in the crowd<br>Building my rain up in the cloud<br>Falling like ashes to the ground<br>Hoping my feelings, they would drown<br>But they never did, ever lived, ebbing and flowing<br>Inhibited, limited<br>Till it broke open and rained down<br>It rained down, like...<br><br>Pain!<br>You made me a, you made me a believer, believer<br>Pain!<br>You break me down, you build me up, believer, believer<br>Pain!<br>Oh let the bullets fly, oh let them rain<br>My life, my love, my drive, it came from...<br>Pain!<br>You made me a, you made me a believer, believer<br><br>Last things last<br>By the grace of the fire and the flames<br>You're the face of the future, the blood in my veins, oh ooh<br>The blood in my veins, oh ooh<br>But they never did, ever lived, ebbing and flowing<br>Inhibited, limited<br>Till it broke open and rained down<br>It rained down, like...<br><br>Pain!<br>You made me a, you made me a believer, believer<br>Pain!<br>You break me down, you build me up, believer, believer<br>Pain!<br>Oh let the bullets fly, oh let them rain<br>My life, my love, my drive, it came from...<br>Pain!<br>You made me a, you made me a believer, believer<br>"
fKopy74weus,thunder,imagine dragons,"
<br>Just a young gun with a quick fuse<br>I was uptight, wanna let loose<br>I was dreaming of bigger things<br>And wanna leave my old life behind<br>Not a yes-sir, not a follower<br>Fit the box, fit the mold<br>Have a seat in the foyer, take a number<br>I was lightning before the thunder<br><br>Thunder, thunder<br>Thunder, thun-, thunder<br>Thun-thun-thunder, thunder, thunder<br>Thunder, thun-, thunder<br>Thun-thun-thunder, thunder<br><br>Thunder, feel the thunder<br>Lightning then the thunder<br>Thunder, feel the thunder<br>Lightning then the thunder<br>Thunder, thunder<br>Thunder<br><br>Kids were laughing in my classes<br>While I was scheming for the masses<br>Who do you think you are?<br>Dreaming 'bout being a big star<br>They say you're basic, they say you're easy<br>You're always riding in the back seat<br>Now I'm smiling from the stage while<br>You were clapping in the nosebleeds<br><br>Thunder<br>Thunder, thun-, thunder<br>Thun-thun-thunder, thunder, thunder<br>Thunder, thun-, thunder<br>Thun-thun-thunder, thunder<br><br>Thunder, feel the thunder<br>Lightning then the thunder<br>Thunder, feel the thunder<br>Lightning then the thunder<br>Thunder<br><br>Thunder, feel the thunder<br>Lightning then the thunder, thunder<br><br>Thunder, feel the thunder<br>Lightning then the thunder, thunder<br>Thunder, feel the thunder<br>Lightning then the thunder, thunder<br>Thunder, feel the thunder<br>(Never give up, never give up)<br>Lightning then the thunder, thunder<br>(Never give up on your dreams)<br>Thunder, feel the thunder<br>(Never give up, never give up)<br>Lightning then the thunder, thunder<br>(Never give up on your dreams)<br><br>Thunder, thunder, thun-, thunder<br>Thun-thun-thunder, thunder<br>Thunder, thunder, thun-, thunder<br>Thun-thun-thunder, thunder<br>Thunder, thunder, thun-, thunder<br>Thun-thun-thunder, thunder<br>Thunder, thunder, thun-, thunder<br>Thun-thun-thunder, thunder<br>"
ktvTqknDobU,radioactive,imagine dragons,"
<br>Whoa, oh, oh<br>Whoa, oh, oh<br>Whoa, oh, oh<br>Whoa<br><br>I'm waking up to ash and dust<br>I wipe my brow and I sweat my rust<br>I'm breathing in the chemicals<br>[Inhale, exhale]<br><br>I'm breaking in, shaping up, then checking out on the prison bus<br>This is it, the apocalypse<br>Whoa oh<br><br>I'm waking up, I feel it in my bones<br>Enough to make my system blow<br>Welcome to the new age, to the new age<br>Welcome to the new age, to the new age<br>Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive<br>Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive<br><br>I raise my flag and dye my clothes<br>It's a revolution, I suppose<br>We're painted red to fit right in<br>Whoa oh<br><br>I'm breaking in, shaping up, then checking out on the prison bus<br>This is it, the apocalypse<br>Whoa oh<br><br>I'm waking up, I feel it in my bones<br>Enough to make my system blow<br>Welcome to the new age, to the new age<br>Welcome to the new age, to the new age<br>Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive<br>Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive<br><br>All systems go, the sun hasn't died<br>Deep in my bones, straight from inside<br><br>I'm waking up, I feel it in my bones<br>Enough to make my system blow<br>Welcome to the new age, to the new age<br>Welcome to the new age, to the new age<br>Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive<br>Whoa, oh, oh, oh, oh, whoa, oh, oh, oh, I'm radioactive, radioactive<br>"
Aknd1dORG9Q,demons,imagine dragons,"
<br>When the days are cold<br>And the cards all fold<br>And the saints we see<br>Are all made of gold<br><br>When your dreams all fail<br>And the ones we hail<br>Are the worst of all<br>And the blood's run stale<br><br>I wanna hide the truth<br>I wanna shelter you<br>But with the beast inside<br>There's nowhere we can hide<br><br>No matter what we breed<br>We still are made of greed<br>This is my kingdom come<br>This is my kingdom come<br><br>When you feel my heat<br>Look into my eyes<br>It's where my demons hide<br>It's where my demons hide<br>Don't get too close<br>It's dark inside<br>It's where my demons hide<br>It's where my demons hide<br><br>At the curtain's call<br>It's the last of all<br>When the lights fade out<br>All the sinners crawl<br><br>So they dug your grave<br>And the masquerade<br>Will come calling out<br>At the mess you've made<br><br>Don't wanna let you down<br>But I am hell-bound<br>Though this is all for you<br>Don't wanna hide the truth<br><br>No matter what we breed<br>We still are made of greed<br>This is my kingdom come<br>This is my kingdom come<br><br>When you feel my heat<br>Look into my eyes<br>It's where my demons hide<br>It's where my demons hide<br>Don't get too close<br>It's dark inside<br>It's where my demons hide<br>It's where my demons hide<br><br>They say it's what you make<br>I say it's up to fate<br>It's woven in my soul<br>I need to let you go<br><br>Your eyes, they shine so bright<br>I wanna save that light<br>I can't escape this now<br>Unless you show me how<br><br>When you feel my heat<br>Look into my eyes<br>It's where my demons hide<br>It's where my demons hide<br>Don't get too close<br>It's dark inside<br>It's where my demons hide<br>It's where my demons hide<br>"
FM7MFYoylVs,something just like this,coldplay,"
<br>I've been reading books of old<br>The legends and the myths<br>Achilles and his gold<br>Hercules and his gifts<br>Spiderman's control<br>And Batman with his fists<br>And clearly I don't see myself upon that list<br><br>But she said, ""Where'd you wanna go?<br>How much you wanna risk?<br>I'm not looking for somebody<br>With some superhuman gifts<br>Some superhero<br>Some fairytale bliss<br>Just something I can turn to<br>Somebody I can kiss<br>I want something just like this""<br><br>Doo-doo-doo, doo-doo-doo<br>Doo-doo-doo, doo-doo<br>Doo-doo-doo, doo-doo-doo<br>Oh, I want something just like this<br>Doo-doo-doo, doo-doo-doo<br>Doo-doo-doo, doo-doo<br>Doo-doo-doo, doo-doo-doo<br><br>Oh, I want something just like this<br>I want something just like this<br><br>I've been reading books of old<br>The legends and the myths<br>The testaments they told<br>The moon and its eclipse<br>And Superman unrolls<br>A suit before he lifts<br>But I'm not the kind of person that it fits<br><br>She said, ""Where'd you wanna go?<br>How much you wanna risk?<br>I'm not looking for somebody<br>With some superhuman gifts<br>Some superhero<br>Some fairytale bliss<br>Just something I can turn to<br>Somebody I can miss<br>I want something just like this<br>I want something just like this""<br><br>Oh, I want something just like this<br>Doo-doo-doo, doo-doo-doo<br>Doo-doo-doo, doo-doo<br>Doo-doo-doo, doo-doo-doo<br>Oh, I want something just like this<br>Doo-doo-doo, doo-doo-doo<br>Doo-doo-doo, doo-doo<br>Doo-doo-doo, doo-doo-doo<br><br>Where'd you wanna go?<br>How much you wanna risk?<br>I'm not looking for somebody<br>With some superhuman gifts<br>Some superhero<br>Some fairytale bliss<br>Just something I can turn to<br>Somebody I can kiss<br>I want something just like this<br><br>Oh, I want something just like this<br>Oh, I want something just like this<br>Oh, I want something just like this<br>"
TO-_3tck2tg,bones,imagine dragons,"
<br>Gimme, gimme, gimme some time to think<br>I'm in the bathroom, looking at me<br>Face in the mirror is all I need (ooh)<br>Wait until the reaper takes my life<br>Never gonna get me out alive<br>I will live a thousand million lives (ooh)<br><br>My patience is waning<br>Is this entertaining?<br>Our patience is waning<br>Is this entertaining?<br><br>I-I-I got this feeling, yeah, you know<br>Where I'm losing all control<br>'Cause there's magic in my bones<br>I-I-I got this feeling in my soul<br>Go ahead and throw your stones<br>'Cause there's magic in my bones<br><br>Playing with a stick of dynamite<br>There was never gray in black and white<br>There was never wrong 'til there was right (ooh, oh)<br>Feeling like a boulder hurtling<br>Seeing all the vultures circling<br>Burning in the flames I'm working in<br>Turning in a bed that's darkening<br><br>My patience is waning<br>Is this entertaining?<br>Our patience is waning<br>Is this entertaining?<br><br>I-I-I got this feeling, yeah, you know<br>Where I'm losing all control<br>'Cause there's magic in my bones (in my bones)<br>I-I-I got this feeling in my soul<br>Go ahead and throw your stones<br>'Cause there's magic in my bones<br><br>'Cause there's magic in my bones<br><br>Look in the mirror of my mind<br>Turning the pages of my life<br>Walking the path so many paced a million times<br>Drown out the voices in the air<br>Leaving the ones that never cared<br>Picking the pieces up and building to the sky<br><br>My patience is waning<br>Is this entertaining?<br>My patience is waning<br>Is this entertaining?<br><br>I-I-I got this feeling, yeah, you know<br>Where I'm losing all control<br>'Cause there's magic in my bones (magic in my bones)<br>I-I-I got this feeling in my soul (soul)<br>Go ahead and throw your stones<br>'Cause there's magic in<br><br>There goes my mind (I-I-I)<br>Don't mind<br>There goes my mind (there it goes, there it goes)<br>There goes my mind (I-I-I)<br>Don't mind (there it goes)<br>There goes my mind<br>'Cause there's magic in my bones<br>"
GkXUtcNBVrs,natural,imagine dragons,"
<br>Will you hold the line<br>When every one of them has given up and given in, tell me<br>In this house of mine<br>Nothing ever comes without a consequence or cost, tell me<br>Will the stars align?<br>Will heaven step in? Will it save us from our sin? Will it?<br>'Cause this house of mine stands strong<br><br>That's the price you pay<br>Leave behind your heart and cast away<br>Just another product of today<br>Rather be the hunter than the prey<br>And you're standing on the edge, face up 'cause you're a...<br><br>Natural<br>A beating heart of stone<br>You gotta be so cold<br>To make it in this world<br>Yeah, you're a natural<br>Living your life cutthroat<br>You gotta be so cold<br>Yeah, you're a natural<br><br>Will somebody<br>Let me see the light within the dark trees shadowing<br>What's happening?<br>Looking through the glass find the wrong within the past knowing<br>Oh, we are the youth<br>Cut until it bleeds inside a world, without the peace, face it<br>A bit of the truth, the truth<br><br>That's the price you pay<br>Leave behind your heart and cast away<br>Just another product of today<br>Rather be the hunter than the prey<br>And you're standing on the edge, face up 'cause you're a...<br><br>Natural<br>A beating heart of stone<br>You gotta be so cold<br>To make it in this world<br>Yeah, you're a natural<br>Living your life cutthroat<br>You gotta be so cold<br>Yeah, you're a natural<br><br>Deep inside me, I'm fading to black, I'm fading<br>Took an oath by the blood of my hand, won't break it<br>I can taste it, the end is upon us, I swear<br>Gonna make it<br>I'm gonna make it<br><br>Natural<br>A beating heart of stone<br>You gotta be so cold<br>To make it in this world<br>Yeah, you're a natural<br>Living your life cutthroat<br>You gotta be so cold<br>Yeah, you're a natural<br><br>Natural<br>Yeah, you're a natural<br>"
